id,character,actions,title,link,characters,text,char_length,word_length
5,donkey,0,the donkey and his masters,http://mythfolklore.net/aesopica/oxford/10.htm,"['donkey', 'masters']","There was a donkey who worked for a gardener. Because the gardener made the donkey work very hard but gave him very little food, the donkey prayed to Zeus to take him away from the gardener and give him to another master, so Zeus sent Hermes to sell the donkey to a potter. The donkey also found this situation unbearable, since he was forced to carry even heavier loads than before. He called upon Zeus again, and this time Zeus arranged for the donkey to be purchased by a tanner. When the donkey saw the kind of work the tanner did, he said, 'Oh, it would have been better for me to have kept on working for my previous masters in a state of starvation! Now I have ended up in a place where I won't even get a proper burial after I die.' The story shows that slaves miss their former masters the most when they have had some experience with their new ones.",859.0,181.0
5,onager,0,"the old man, the donkey and the pack saddles",http://mythfolklore.net/aesopica/oxford/11.htm,"['man', 'donkey', 'pack', 'saddles']","When there is a change in government, nothing changes for the poor folk except their master's name. A cowardly old man had led his donkey out to pasture. At the unexpected sound of the enemy approaching, the old man was stricken with terror and tried to persuade the donkey to run away so that he wouldn't be captured. The donkey obstinately asked the old man, 'Tell me, do you suppose the victor will make me carry two pack saddles instead of one?' The old man said he did not think so. 'I rest my case,' concluded the donkey. 'What difference does it make who my master is, if I always carry one saddle at a time?' ",617.0,135.0
5,lion,0,the frogs and the battle of the bulls,http://mythfolklore.net/aesopica/oxford/12.htm,"['frogs', 'battle', 'bulls']","Poor folk suffer when the high and mighty are at war with one another. A frog looked out from her pond and saw a battle taking place between the bulls. 'Oh no!' she said, 'There is terrible danger in store for us.' Another frog asked her why she said this, since the bulls were fighting for control of the herd in their home far away from the frogs. The first frog explained, 'While their habitat may be separate from ours and our species not the same, the bull who is driven from the lordship of the meadow will come to find a secret hiding place here in the marsh, crushing us beneath his heavy hooves. That is why their frenzy is a matter of life and death for us!' ",669.0,144.0
6,donkey,0,the lion and the fawn,http://mythfolklore.net/aesopica/oxford/13.htm,"['lion', 'fawn']","The lion had gone into in a raging frenzy. A fawn saw him from the woods and said, 'Oh, we really are in trouble! Now that the lion is enraged, he will not stop at anything - and he was already more than we could bear even before he went out of his mind!' ",256.0,61.0
6,priests,0,"the lion, the cow, the she-goat and the sheep",http://mythfolklore.net/aesopica/oxford/14.htm,"['lion', 'cow', 'she-goat', 'sheep']","An alliance made with the high and mighty can never be trusted. This little fable proves my point. A cow and a she-goat and a long-suffering sheep decided to become the lion's companions. They went into the forest together and there they caught an extremely large stag which they divided into four portions. Then the lion said, 'I claim the first portion by right of my title, since I am called the king; the second portion you will give me as your partner; then, because I am strongest, the third portion is mine ... and woe betide anyone who dares to touch the fourth!' In this way the wicked lion carried off all the spoils for himself. ",640.0,132.0
6,tambourines,0,"the wolf, the fox and the lion dividing the 
      spoils",http://mythfolklore.net/aesopica/oxford/15.htm,"['wolf', 'fox', 'lion', 'dividing', 'spoils']","The lion, the wolf, and the fox agreed to go hunting together. The fox caught a goose, the wolf caught a fat ram, and the lion caught a scrawny cow. Then it was time to eat. The lion told the wolf to divide their catch. The wolf said, 'Let each one take what he has caught: the lion will take the cow, I'll take the ram, and the fox will take the goose.' The lion was enraged and, raising his paw, he used his claws to strip the wolf's head of all its fur and skin. The lion then ordered the fox to divide the spoils. The fox said, 'My lord, you should eat as much of the fat ram as you want, since its meat is tender, then you should eat as much of the goose as you want, but you should eat the cow's flesh only in moderation, since it is so tough. Whatever is left over you can give to us, your servants.' 'Well done,' said the lion. 'Who taught you how to do such a good job of dividing the spoils?' The fox said, 'My lord, I have learned from my associate's red cap: his excoriated skull provides a very vivid lesson.' ",1023.0,248.0
7,aesop,0,the monkey and the lion’s breath,http://mythfolklore.net/aesopica/oxford/16.htm,"['monkey', 'lion', 'breath']","When the lion made himself king of the beasts, he wanted to be known for his fairness, so he gave up his old habits and contented himself with a limited diet just as the other animals did, committed to dispensing justice with complete honesty. As time went by, however, the lion's resolution began to waver. Since he was not able to alter his natural inclinations, he began to take certain animals aside in private and ask them whether or not his breath smelled bad. It was a clever strategy: the animals who said that it smelled bad and the animals who said it did not were all killed just the same and the lion was thus able to satisfy his appetite. After he had slaughtered a number of the animals in this way, the lion turned to the monkey and asked how his breath smelled. The monkey exclaimed that the lion's breath smelled of cinnamon, as if it were the very altar of the gods. The lion was ashamed to slaughter someone who said such nice things, so he changed his tactics and fooled the monkey with a newly devised stratagem. The lion pretended that he was sick. The doctors came right away, of course, and when they checked the lion's veins and found that his pulse was normal, they ordered him to eat some food that would be light on his stomach, thus alleviating his nausea. 'Kings may eat what they like,' admitted the lion. 'And I've never tried monkey meat... I would like to have a taste of that.' No sooner said than done: the obsequious monkey was quickly killed so that the lion could eat him immediately. The penalty for speaking and for keeping silent is one and the same.",1592.0,329.0
7,runaway,0,"the wolf, the fox and the ailing lion",http://mythfolklore.net/aesopica/oxford/17.htm,"['wolf', 'fox', 'ailing', 'lion']","The lion had grown old and sick and was lying in his cave. All the animals, except for the fox, had come to visit their king. The wolf seized this opportunity to denounce the fox in front of the lion, complaining that the fox showed no respect for the lion, who was the common master of them all. Indeed, the fox had not even come to pay the ailing lion a visit! The fox arrived just in time to hear the end of the wolf's speech. The lion roared at the fox, but the fox asked for a chance to explain herself. 'After all,' said the fox, 'which one of all the animals assembled here has helped you as I have, travelling all over the world in order to seek out and discover from the doctors a remedy for your illness?' The lion ordered the fox to describe the remedy immediately, and the fox replied, 'You must flay a living wolf and wrap yourself in his skin while it is still warm.' When the wolf had been killed, the fox laughed and said, 'It is better to put your master in a good mood, not a bad one.' The story shows that someone who plots against others falls into his own trap.",1082.0,241.0
7,slave,0,"the fox, the lion and the footprints",http://mythfolklore.net/aesopica/oxford/18.htm,"['fox', 'lion', 'footprints']","A lion had grown old and weak. He pretended to be sick, which was just a ruse to make the other animals come pay their respects so that he could eat them all up, one by one. The fox also came to see the lion, but she greeted him from outside the cave. The lion asked the fox why she didn't come in. The fox replied, 'Because I see the tracks of those going in, but none coming out.' Other people's lives are lessons in how we can avoid danger: it is easy to enter the house of a powerful man, but once you are inside, it may already be too late to get out.",556.0,132.0
8,jackdaw,0,"the lion, the fox and the monkey serving 
      dinner",http://mythfolklore.net/aesopica/oxford/19.htm,"['lion', 'fox', 'monkey', 'serving', 'dinner']","There was a lion who strove to emulate the best sort of life lived in human society. He made his home inside a spacious den and tried to show genuine kindness to all those whom he recognized as the elite beasts of the mountain. His den often hosted a large crowd of such animals, who gathered together in a company and treated one another with civility. The lion would befriend and entertain them according to the rules of hospitality, placing before each of his guests their favourite dish, made with ingredients that the lion knew would give them pleasure. There was a fox who lived with the lion as his friend and companion, and the two of them were very happy together. Meanwhile, an elderly monkey served as the carver at the feasts, distributing the portions of meat to the lion's guests at dinner. Whenever there was a guest who was not one of the regular party, the monkey would set before him the same portion which he offered his master, namely, the quarry that the lion had seized in his latest hunting expedition. On these occasions, the fox received leftovers from the day before, and less than her usual portion. One day the lion happened to notice that the fox was pointedly refusing to speak and that she refrained from the meat served at dinner. The lion asked her what was the matter. 'My wise fox,' said the lion, 'speak to me as you used to do! Cheer up and take part in the banquet, my dear.' But the fox said, 'O lion, best among all the species of beasts, I am sick at heart and deeply worried. It is not only the present situation that distresses me; I am also saddened by things which I see are yet to come. If some new guest arrives with every passing day, one after the other, this will become a matter of custom and soon I will not even have leftover meat for my dinner.' The lion was amused and smiled a lion's smile. 'Blame the monkey for all that,' he said. 'It is his fault, not mine.' ",1918.0,405.0
8,string,0,the hare and the lion’s justice,http://mythfolklore.net/aesopica/oxford/20.htm,"['hare', 'lion', 'justice']","There was once a lion king who did not have a bad temper. In fact, he never took any pleasure in acting violently but was instead mild and just, as if he were a human being. During this lion's reign, so they say, all the wild animals assembled to present their petitions and receive verdicts in their disputes. Every animal was called to account: the wolf for what he had done to the lamb, the leopard for what she had done to the wild goat, the tiger for what he had done to the deer, and so on. In the end, all the animals were at peace with one another. The timid hare then proclaimed, 'Now has come the day for which I have always prayed, when even the weak creatures are feared by the strong!' ",699.0,155.0
9,butcher,0,the lions and the hares,http://mythfolklore.net/aesopica/oxford/21.htm,"['lions', 'hares']","Only a ridiculous person would try to make laws to govern the [most superior members of a society. Indeed, those gods among men] would probably respond as did the lions in the story of Antisthenes when the hares harangued the assembly, holding that everyone was to be considered of equal worth. ",295.0,57.0
9,shepherd,0,the peacock elected king of the birds,http://mythfolklore.net/aesopica/oxford/22.htm,"['peacock', 'elected', 'king', 'birds']","There were once some birds who gathered together for a group assembly and debated amongst themselves who was best suited to rule. The peacock said to the other birds, 'The kingship suits me best, since I am remarkably beautiful and in the prime of life.' While the rest of the birds were satisfied with the peacock, the raven made his way into their midst and protested, 'Tell me, if you become king, what is going to happen when the eagle attacks us: are you strong enough to rescue us from his assault?' The fable shows that the kingship is not suited for those who are resplendent with beauty, but rather for those who have physical prowess and other outstanding qualities.",676.0,134.0
9,lamb,0,the camel and the elephant,http://mythfolklore.net/aesopica/oxford/23.htm,"['camel', 'elephant']","The dumb beasts wanted to elect a king from amongst their ranks. The camel and the elephant were the two leading candidates because of their size and their strength. The monkey, however, argued that they were both unqualified. 'The camel cannot rule us because she doesn't have the guts to fight against those who step out of line,' said the monkey, 'and there is also a potential danger if the elephant is king: how will he defend us from the little pigs?' The fable shows that great achievements are often blocked by some small thing which prevents their realization.",569.0,113.0
10,donkey,0,the monkey elected king of the animals,http://mythfolklore.net/aesopica/oxford/24.htm,"['monkey', 'elected', 'king', 'animals']","At an assembly of the dumb beasts, the monkey did a dance. The performance was a great success and the animals elected the monkey to be their king. But the fox was jealous of the monkey, so when she saw some meat lying in a trap, she led the monkey there and told him that she had found a treasure. The fox explained that she had not taken it for herself because of the king's prerogative. Instead, she had guarded this royal prize just for him. She then told the monkey to go ahead and take it. The monkey recklessly put his hand in the trap and was caught. When he accused the fox of luring him into an ambush, the fox replied, 'O you monkey! How can you rule over the dumb beasts when you yourself are such an idiot?' The story shows that the same is true for people who take up some business without thinking about it first: they meet with disaster and become laughing-stocks as well.",888.0,190.0
10,masters,0,the doves and the kite,http://mythfolklore.net/aesopica/oxford/25.htm,"['doves', 'kite']","The person who turns to a dishonest for help in times of trouble will be ruined, not rescued. The doves kept having to run away from the kite, eluding death on the swiftness of their wings. The rapacious kite then decided to try some deceptive advice, fooling the defenceless flock by means of a trick. “Why do you prefer this anxious way of life,” he asked, “when instead you could strike up an agreement with me and make me your king, so that I would keep you safe from all possible danger?” The doves were persuaded by the kite's advice and turned themselves over to his care but once he became king, the kite began to feast on his subjects one by one, wielding supreme authority with the fierceness of his talons. Then one of the survivors said, “This is the punishment we deserve, since we put our lives in the hands of this thieving scoundrel!” ",851.0,179.0
11,man,0,the trees elect a king,http://mythfolklore.net/aesopica/oxford/26.htm,"['trees', 'elect', 'king']","The trees came together so that they could anoint a king to rule over them. 'Please be our ruler,' they said to the olive tree. The olive tree said in reply, 'Why would I abandon the richness of my oil, which is valued by both gods and mortals, in order to become the leader of the trees?' They came to the fig tree and said, 'Agree to rule over us.' The fig tree answered, 'Why would I relinquish my sweetness and delightful fruit in order to become the leader of the trees?' They came to the vine, hoping that the vine might rule over them, but the vine answered, 'Why would I relinquish the wine which brings joy both to God and to mankind?' And so the vine refused to be their leader. The trees then said to the thorn bush, 'Rule over us.' The thorn bush replied, 'If indeed you have resolved to make me your king, come and rest under my shadow, and if you refuse, a fire will come forth from the thorn bush and devour the cedars of Lebanon!' ",947.0,213.0
11,donkey,0,jupiter and the frogs,http://mythfolklore.net/aesopica/oxford/27.htm,"['jupiter', 'frogs']","While the frogs were hopping about in the freedom of their pond they began shouting to Jupiter that they wanted a king who could hold their dissolute habits in check. Jupiter laughed and bestowed on the frogs a small piece of wood which he dropped all of a sudden into their pond. As the wood splashed lightly into the water, it terrified the timid frogs. They plunged into the mud and hid there a long time until one frog happened to raise her head cautiously up out of the water. After studying the king, she summoned the other frogs. Putting aside their fear, the frogs all raced over and began jumping on the piece of wood, rudely making fun of it. When the frogs had showered their king with shame and scorn, they asked Jupiter to send them another one. Jupiter was angry that they had made fun of the king he had given them, so he sent them a water-snake, who killed the frogs one by one with her piercing sting. As the water-snake was happily eating her fill, the useless creatures ran away, speechless in their fright. They secretly sent a message to Jupiter through Mercury, begging him to put a stop to the slaughter but Jupiter replied, 'Since you rejected what was good in order to get something bad, you better put up with it - or else something even worse might happen!'",1284.0,259.0
11,pack,0,the monk and the abbots,http://mythfolklore.net/aesopica/oxford/28.htm,"['monk', 'abbots']","This fable can be applied to bad rulers and worse successors. A certain abbot gave his monks three-course meals but the monks said, 'This abbot gives us too little to eat. Let us pray to God that he will die soon.' Whether for this reason or for some other reason, the abbot soon died. He was replaced by another abbot, and this new abbot gave them two-course meals. The monks were angry and upset, so they said 'Now we must pray even harder that God will deprive this man of his life, because he has deprived us of one of our courses.' The abbot then died. He was replaced by a third abbot, who took away yet another course. The angry monks said, 'This one is the worst of all: he is starving us to death! Let us pray to God that he will die soon.' Then one of the monks said, 'Meanwhile, I will pray to God that he give this abbot a long life and keep him safe on our behalf.' The others were surprised and asked him why he said this. The monk explained, 'I see that our first abbot was bad, the second one worse, and this third abbot is the worst of all. I am afraid that when this one dies, he will be replaced by one who is even worse, and then we really will die of starvation!' Hence the saying: Bad situations rarely get better.",1236.0,279.0
11,saddles,0,"the hedgehog, the fox and the ticks",http://mythfolklore.net/aesopica/oxford/29.htm,"['hedgehog', 'fox', 'ticks']","Aesop was defending a demagogue at Samos who was on trial for his life when he told this story: 'A fox was crossing a river but she got swept by the current into a gully. A long time passed and she couldn't get out. Meanwhile, there were ticks swarming all over the fox's body, making her quite miserable. A hedgehog wandered by and happened to see the fox. He took pity on her and asked if he should remove the ticks, but the fox refused. The hedgehog asked the reason why, and the fox replied, ""These ticks have taken their fill of me and are barely sucking my blood at this point, but if you take these ticks away, others will come and those hungry new ticks will drink up all the blood I have left!"" And the same is true for you, people of Samos: this man will do you no harm since he is already wealthy, but if you condemn him to death, others will come who do not have any money, and they will rob you blind!' ",916.0,206.0
12,frogs,0,the wolves and the dogs,http://mythfolklore.net/aesopica/oxford/30.htm,"['wolves', 'dogs']","The wolves wanted to make friends with the dogs, so they said, 'Since we have so much in common, why don't you treat us as your brothers and friends? It is merely our attitude that divides us. We wolves all live a life of freedom, while you dogs are the slaves of people who make you wear collars around your necks and who beat you with sticks whenever it pleases them. And that is not your only hardship: you even have to guard their flocks and, what's worse, when they are eating their dinner, they toss you nothing but the bones as your share. If you will agree to our bargain, you can turn everything over to us and we'll eat our fill together.' Right away the dogs agreed, so the wolves attacked the flock and killed the dogs, so that the flock could not call out for help against the wolves. The fable shows that these are the wages of people who betray their country.",874.0,188.0
12,battle,0,"the wolves, the sheep and the ram",http://mythfolklore.net/aesopica/oxford/31.htm,"['wolves', 'sheep', 'ram']","The wolves sent messengers to the sheep, offering to swear a sacred oath of everlasting peace if the sheep would just agree to hand over the dogs for punishment. It was all because of the dogs, said the wolves, that the sheep and the wolves were at war with one another. The flock of sheep, those foolish creatures who bleat at everything, were ready to send the dogs away but there was an old ram among them whose deep fleece shivered and stood on end. 'What kind of negotiation is this!' he exclaimed. 'How can I hope to survive in your company unless we have guards? Even now, with the dogs keeping watch, I cannot graze in safety.' ",636.0,135.0
12,bulls,0,"the wolves, the sheep and the dogs",http://mythfolklore.net/aesopica/oxford/32.htm,"['wolves', 'sheep', 'dogs']","The sheep and the wolves were at war with one another but the sheep could not be defeated because the dogs' protection kept them safe. The wolves sent ambassadors to the sheep, pretending to offer an end to the hostilities if the sheep would let the wolves serve as their guardians. Hoping that this would establish an accord once and for all, the sheep agreed to all the wolves' demands. Afterwards, the wolves broke the treaty and were able to devour the sheep now that they no longer had anyone to protect them. The sheep recognized their error too late and regretted the decision they had made. If you depend on someone else for help, you will be in trouble when that help is nowhere to be found.",700.0,140.0
13,lion,0,the sheep and the injured wolf,http://mythfolklore.net/aesopica/oxford/33.htm,"['sheep', 'injured', 'wolf']","A wolf had been mauled by dogs and had cast himself down on the ground. Because of his injuries, the wolf could not go in search of food, so when he saw a sheep, he begged her to bring him something to drink from the river that ran nearby. 'If you just give me something to drink,' said the wolf, 'I will find myself something to eat.' The sheep replied, 'But if I give you with something to drink, then you will make me your dinner as well!' The story can be used against a wicked man who hides his plots behind a veil of pretense.",532.0,122.0
13,fawn,0,the shepherd and the wolf cubs,http://mythfolklore.net/aesopica/oxford/34.htm,"['shepherd', 'wolf', 'cubs']","A shepherd found some wolf cubs and he brought them up, thinking that the fully grown wolves would both guard his flock and steal other people's sheep to bring back to his sheepfold. But when the cubs grew up, the first thing they did was to destroy the man's own flock. The man groaned and said, 'It serves me right! Why didn't I kill them when they were little?' The story shows that when people harbor a criminal they become his first victims without even realizing it.",472.0,99.0
14,lion,0,the shepherd and the wolf cub,http://mythfolklore.net/aesopica/oxford/35.htm,"['shepherd', 'wolf', 'cub']","A shepherd found a little wolf cub and raised it. Then, when the cub was bigger he taught it to steal from his neighbours' flocks. Once he had learned how to do this, the wolf said to the shepherd, 'Now that you have shown me how to steal, take care that many of your own sheep don't go missing!' The fable shows that people who are vicious by nature will often injure their teachers once they have been taught to steal and be greedy.",434.0,95.0
14,cow,0,"the shepherd, the wolf cub and the wolf",http://mythfolklore.net/aesopica/oxford/36.htm,"['shepherd', 'wolf', 'cub', 'wolf']","A shepherd found a new-born wolf cub. Taking it home, he raised it with his dogs. After the cub had grown up, he would join the dogs in the chase if a prowling wolf ever stole one of the sheep. When the dogs were no longer able to keep up with the other wolf and turned back for home (as sometimes happened), the wolf would continue the chase until he caught the other wolf and received an equal share of the prey, true to his wolf's nature. Then he too would go back home. If, however, no wolves came to seize the sheep, he would secretly slaughter one of the sheep and eat it together with the dogs. When the shepherd finally guessed what was happening, he hanged the wolf from a tree and killed him. The fable shows that a wicked nature does not produce a good character.",774.0,168.0
14,she-goat,0,the blind man and the cub,http://mythfolklore.net/aesopica/oxford/37.htm,"['blind', 'man', 'cub']","There was a blind man who was in the habit of identifying any animal that was placed in his hands by touching it. Once they gave him a wolf cub. Even after stroking the animal he was not sure of its identity, so he said, 'I am not sure whether it is the cub of a wolf or a fox or some similar creature, but I do know that this is not the kind of animal that should accompany a flock of sheep!' In the same way bad people are revealed by their features.",452.0,103.0
14,sheep,0,the wolf and the shepherd,http://mythfolklore.net/aesopica/oxford/38.htm,"['wolf', 'shepherd']","A wolf followed along after a flock of sheep without doing them any harm. At first the shepherd kept his eye on the wolf as a potential enemy to the flock and never let him out of his sight. But as the wolf continued to accompany the shepherd and did not make any kind of attempt to raid the flock, the shepherd eventually began to regard the wolf more as a guardian of the flock than as a threat. Then, when the shepherd happened to have to go to town, he commended the sheep to the wolf in his absence. The wolf seized his chance and attacked the sheep, slaughtering most of the flock. When the shepherd came back and saw that his flock had been utterly destroyed, he said, 'It serves me right! How could I have ever trusted my sheep to a wolf?' The same is true of people: if you entrust your bank deposits to greedy men, you are certain to get robbed.",855.0,183.0
15,wolf,0,"the man, the wolf and the dog",http://mythfolklore.net/aesopica/oxford/39.htm,"['man', 'wolf', 'dog']","A man was gathering his sheep into the fold one evening and was about to enclose a tawny wolf inside with the flock. When the dog saw what he was doing, he said to the man, 'How can you be serious about protecting the sheep when you are introducing this creature among us?' ",274.0,58.0
15,fox,0,zeus and the oak trees,http://mythfolklore.net/aesopica/oxford/40.htm,"['zeus', 'oak', 'trees']","Once upon a time the oak trees came to Zeus and lodged a complaint, 'O Zeus, founder of our species and father of all plant life, if it is our destiny to be chopped down, why did you even cause us to grow?' Zeus smiled and replied, 'It is you yourselves who supply the means of your destruction: if you didn't create all the handles, no farmer would have an axe in his house!' ",377.0,87.0
15,lion,0,the ax and the trees,http://mythfolklore.net/aesopica/oxford/41.htm,"['ax', 'trees']","When a man had made an axe, he asked the trees to give him a handle made of the hardest wood. The other trees selected the wood of the wild olive. The man took the handle and fitted it to his axe. Then, without a moment's hesitation, he began to chop down the trees' mighty branches and trunks, taking whatever he wanted. The oak tree then said to the ash, 'It serves us right, since we gave our enemy the handle he asked for!' You should think twice before offering anything to your enemies.",492.0,109.0
15,dividing,0,the pine tree and the wedges,http://mythfolklore.net/aesopica/oxford/42.htm,"['pine', 'tree', 'wedges']","Some woodcutters splitting a wild pine tree drove wedges into the trunk, prying it apart and thus making their work easier. The pine tree groaned and said, 'I cannot blame the axe, who had no connection with my root, but these utterly despicable wedges are my own children. Pounded into me this way and that, they are going to tear me apart!' This fable reminds everyone that the bad things that strangers do to you are never as terrible as the things done to you by the members of your own family.",498.0,104.0
15,spoils,0,the eagle and the arrow,http://mythfolklore.net/aesopica/oxford/43.htm,"['eagle', 'arrow']","A story about an archer, showing that it is bitter to be betrayed by one of your own. An archer aimed at an eagle and let loose an arrow. The eagle was struck and as he turned and looked at the shaft which was tipped with his own feathers, he said, 'Many are betrayed by the very things that they themselves have wrought.' ",323.0,70.0
16,monkey,0,the decoys and the doves,http://mythfolklore.net/aesopica/oxford/44.htm,"['decoys', 'doves']","A bird catcher laid out his net, tying some tame doves to the net as decoys. He then stood off at a distance, waiting to see what would happen. Some wild doves flew up to the tame doves and became entangled in the knots of the net. When the bird catcher ran up and began to grab them, the wild doves got angry at the tame doves, since the tame doves had not warned them about the trap even though they were all members of the same species. The tame doves replied, 'Nevertheless, it is better for us to protect the interests of our masters than to please our relations.' The same is true about household servants: they should not be blamed when their devotion to the master of the house causes them to set aside any loyalty to their kinfolk.",740.0,155.0
16,lion,0,the bird catcher and the partridge,http://mythfolklore.net/aesopica/oxford/45.htm,"['bird', 'catcher', 'partridge']","A bird catcher had captured a partridge and was ready to strangle her right there on the spot. The partridge wanted to save her life so she pleaded with the bird catcher and said, 'If you release me from this snare, I will lure many partridges here and bring them to you.' The bird catcher was made even more angry by this and he killed the partridge immediately. This fable shows that someone who lays a trap for others will fall victim to it himself.",452.0,92.0
